구분,기능 대분류,기능 중분류,기능 소분류,상세 기능,설명,우선순위,가능여부,구현 기간,진행상황,담당자,비고
앱(App),1. 회원 관리,1-1. 회원가입,1-1-1. 소셜 회원가입,1-1-1-1. 카카오로 로그인,- 소셜 미디어 계정 사용 간편 회원가입,중요,Not started,,진행 예정,,3
,,,1-1-2. 일반 회원가입,,- (  )를 받아 회원가입,추후 구현,Not started,,진행 예정,,3
,,,1-1-3. 로봇 등록,,- 회원가입 이후 로봇 등록 (시리얼번호),중요,Not started,,진행 예정,,3
,,1-2. 로그인,1-2-1. 소셜 로그인,,- 소셜 미디어 계정 사용 간편 로그인,중요,Not started,,진행 예정,,3
,,,1-2-2. 일반 로그인,,,추후 구현,Not started,,진행 예정,,3
,,1-3. 로그아웃,,,,중요,Not started,,진행 예정,,3
,2. 홈화면,2-1. 실내 온도,,,,매우 중요,Not started,,진행 예정,,2
,,2-2. 실외 온도,,- 날씨의 string 값에 따라 온도 설정,- 시뮬레이터에서 설정된 실외 온도,중요,Not started,,진행 예정,,6
,,2-3. 습도," ",,- 시뮬레이터에서 설정된 습도,중요,Not started,,진행 예정,,6
,,2-4. 날씨,,,- 시뮬레이터에서 설정된 날씨,중요,Not started,,진행 예정,,6
,,2-5. IoT 기기 상태,2-5-1. 에어컨,on/off ( 희망 온도),,매우 중요,Not started,,진행 예정,,1
,,,2-5-2. TV,on/off( + 현재 채널),,매우 중요,Not started,,진행 예정,,1
,,,2-5-3. 공기청정기,on/off,,매우 중요,Not started,,진행 예정,,1
,,,2-5-4. 조명,on/off (방 별로),,추후 구현,Not started,,진행 예정,,7
,,,2-5-5. 커튼,on/off,,추후 구현,Not started,,진행 예정,,7
,,,2-5-6. 문,on/off (문 별로),,추후 구현,Not started,,진행 예정,,7
,,,2-5-7. 가스밸브,on/off,,추후 구현,Not started,,진행 예정,,7
,,2-6. 보호 대상자 이름 (접속기기),2-6-1. 현재 접속 기기 정보 표시,,,중요,Not started,,진행 예정,,2
,,,2-6-2. 접속 기기 전환 기능,,,중요,Not started,,진행 예정,,2
